院校名称,院校ID
中原工学院,763
新乡医学院,851
兰州理工大学,399
洛阳师范学院,211
周口师范学院,1187
南阳师范学院,352
兰州交通大学,162
商丘师范学院,749
河南财经政法大学,183
青岛农业大学,759
甘肃农业大学,464
许昌学院,995
聊城大学,753
西北师范大学,735
临沂大学,962
甘肃中医药大学,839
青岛大学,728
兰州财经大学,849
甘肃政法大学,4105
河西学院,127
海南大学,786
内蒙古科技大学,829
内蒙古民族大学,755
青岛科技大学,159
内蒙古工业大学,145
青岛理工大学,154
曲阜师范大学,140
海南师范大学,834
海南医学院,1270
贵州师范大学,883
贵州医科大学,184
贵州民族大学,673
内蒙古农业大学,403
遵义医科大学,843
内蒙古师范大学,1239
贵州财经大学,489
贵州中医药大学,483
黔南民族师范学院,988
遵义师范学院,1005
内蒙古医科大学,963
山东工商学院,200
山东工艺美术学院,1636
山东建筑大学,264
内蒙古财经大学,1203
广西医科大学,148
广西师范大学,1053
桂林电子科技大学,455
桂林理工大学,1099
山东交通学院,1085
山东财经大学,458
广西科技大学,1087
山东科技大学,719
桂林医学院,969
玉林师范学院,356
山东理工大学,825
南宁师范大学,1260
山东农业大学,1055
广西民族大学,463
宁夏大学,738
北方民族大学,495
宁夏医科大学,269
齐鲁工业大学,1205
山东体育学院,2289
山东艺术学院,775
泰山学院,229
山东第一医科大学,1204
潍坊学院,627
山东第二医科大学,4221
烟台大学,896
鲁东大学,179
北京化工大学,15
中国农业大学,411
中国传媒大学,794
北京城市学院,801
北方工业大学,175
中央戏剧学院,366
北京电影学院,66
中央美术学院,120
北京电子科技学院,32
中央财经大学,1212
北京服装学院,960
中华女子学院,621
中国政法大学,1150
北京工商大学,1230
中国音乐学院,1977
北京建筑大学,260
北京协和医学院,415
中国戏曲学院,1926
北京联合大学,494
中国人民公安大学,797
北京农学院,1210
中国劳动关系学院,622
北京石油化工学院,1269
外交学院,182
首钢工学院,1192
首都医科大学,779
北京舞蹈学院,2501
北京物资学院,1265
首都体育学院,1516
首都师范大学,1223
北京印刷学院,214
华北电力大学保定校区,4222
北京语言大学,157
国际关系学院,672
河北师范大学,721
河北医科大学,4225
华北理工大学,267
河北农业大学,733
燕山大学,778
承德医学院,297
河北北方学院,44
河北工程大学,177
河北建筑工程学院,992
华北科技学院,359
河北地质大学,668
石家庄铁道大学,885
唐山学院,296
邢台学院,252
中国人民警察大学,1153
中央司法警官学院,873
山东师范大学,740
唐山师范学院,1079
廊坊师范学院,392
河北体育学院,283
衡水学院,257
石家庄学院,954
邯郸学院,1186
广州工商学院,813
广东东软学院,2496
深圳职业技术大学,4226
保定学院,1004
沧州师范学院,1191
防灾科技学院,616
上海海关学院,210
河北美术学院,110
电子科技大学,414
上海建桥学院,937
上海立达学院,2306
上海兴伟学院,2721
北华航天工业学院,951
河北水利电力学院,2282
河北石油职业技术大学,4106
河北民族师范学院,991
河北金融学院,349
河北科技工程职业技术大学,4107
河北工业职业技术大学,4108
上海中侨职业技术大学,4109
哈尔滨金融学院,295
河北工程技术学院,982
河北外国语学院,561
哈尔滨信息工程学院,1315
黑龙江工业学院,990
齐齐哈尔工程学院,1705
成都工业学院,135
成都东软学院,1072
成都艺术职业大学,4110
四川旅游学院,258
四川民族学院,906
阿坝师范学院,1928
辽宁工程技术大学,163
南通大学,152
四川文理学院,256
四川工业科技学院,1556
武汉商学院,902
汉江师范学院,1734
首都师范大学科德学院,857
吉利学院,4111
中国地质大学(北京),879
华北电力大学,4227
中国石油大学(北京),430
河南师范大学,400
安阳工学院,383
南阳理工学院,298
天津中德应用技术大学,985
西安外事学院,802
西安思源学院,935
北京体育大学,870
南昌工程学院,838
南昌理工学院,437
江西科技学院,804
豫章师范学院,1525
河南中医药大学,1178
江西警察学院,923
首都经济贸易大学,747
信阳师范大学,496
安阳师范学院,380
北京信息科技大学,665
平顶山学院,38
河南科技学院,1086
黄淮学院,384
郑州警察学院,613
萍乡学院,249
景德镇学院,259
新余学院,1007
河南工学院,868
南昌职业大学,2164
山西中医药大学,302
运城学院,593
晋中学院,1000
江西应用科技学院,1700
西昌学院,253
攀枝花学院,385
西南大学,1146
贵州大学,446
海军军医大学,4229
中国人民解放军空军军医大学,1034
中国人民解放军国防科技大学,4230
江西工程学院,2419
南方医科大学,782
肇庆学院,354
广东警官学院,321
广东技术师范大学,263
广东培正学院,569
广东白云学院,866
广州航海学院,1190
广东工商职业技术大学,1797
广东理工学院,1314
广州科技职业技术大学,1117
中国矿业大学(北京),55
武汉科技大学,161
重庆科技大学,4231
上海商学院,139
上海政法学院,1264
大庆师范学院,225
吉林农业科技学院,215
重庆交通大学,1238
福建医科大学,837
福建中医药大学,666
蚌埠医科大学,4232
阜阳师范大学,1078
安庆师范大学,1077
湖北理工学院,993
湖北警官学院,1028
长沙学院,42
广东金融学院,762
右江民族医学院,390
广西中医药大学,964
河池学院,1009
伊犁师范大学,587
重庆文理学院,212
沈阳工程学院,351
赤峰学院,291
西安文理学院,590
昆明学院,908
黑河学院,533
广西财经学院,972
吉林医药学院,541
金陵科技学院,137
徐州工程学院,625
湖北经济学院法商学院,58
厦门理工学院,847
哈尔滨师范大学,168
绥化学院,290
淮阴师范学院,303
南京工业职业技术大学,4112
浙江传媒学院,798
辽宁科技学院,637
湖南人文科技学院,957
贵阳学院,1195
重庆工商大学,886
成都医学院,220
文华学院,429
绵阳师范学院,357
内江师范学院,304
宜宾学院,592
乐山师范学院,970
成都体育学院,1018
曲靖师范学院,596
榆林学院,1194
塔里木大学,484
上海电机学院,204
西藏藏医药大学,227
陇东学院,631
天水师范学院,948
广州南方学院,4113
武汉华夏理工学院,56
西安航空学院,597
武昌首义学院,929
汉口学院,196
北京工商大学嘉华学院,865
北京工业大学耿丹学院,509
郑州经贸学院,4114
北京邮电大学世纪学院,939
江苏警官学院,328
三峡大学科技学院,62
郑州财经学院,1131
中国矿业大学徐海学院,57
电子科技大学成都学院,426
中南林业科技大学涉外学院,87
太原工业学院,640
南京警察学院,517
南京特殊教育师范学院,515
山东中医药大学,892
南京理工大学泰州科技学院,521
武汉工程科技学院,2637
东南大学成贤学院,511
郑州师范学院,1012
郑州工商学院,872
山西医科大学汾阳学院,2889
武昌理工学院,508
湖北医药学院药护学院,2287
武汉东湖学院,506
空军预警学院,4233
商丘工学院,1023
辽宁理工学院,503
保定理工学院,433
武汉学院,1043
宿迁学院,695
武汉城市学院,4115
洛阳理工学院,31
三江学院,933
宿州学院,1006
常熟理工学院,595
西安翻译学院,881
西京学院,436
湖南涉外经济学院,860
宁波工程学院,391
南京财经大学红山学院,1154
安徽中医药大学,966
信阳农林学院,643
山东警察学院,676
山东航空学院,4235
武警后勤学院,4236
辽宁警察学院,765
武警工程大学,4237
集美大学诚毅学院,934
上海师范大学天华学院,61
宁波诺丁汉大学,1041
北京大学医学部,717
东北大学秦皇岛分校,711
山东大学(威海),4238
香港中文大学,2548
香港城市大学,1595
中国人民解放军战略支援部队信息工程大学,1677
解放军国际关系学院,4239
中国人民解放军西安通信学院,2849
陆军勤务学院,4240
中国人民解放军陆军军医大学,544
陆军装甲兵学院,4241
空军工程大学,4242
火箭军工程大学,4243
重庆人文科技学院,928
香港科技大学,1453
香港大学,2364
贵州工程应用技术学院,912
济宁医学院,382
宁夏师范学院,537
呼伦贝尔学院,224
长沙医学院,427
辽宁对外经贸学院,1035
青岛滨海学院,599
枣庄学院,1185
滁州学院,585
海南热带海洋学院,529
龙岩学院,1188
梧州学院,1189
百色学院,532
陆军军事交通学院,4244
丽水学院,1209
北部湾大学,1001
长治学院,223
河北科技师范学院,841
贺州学院,245
三明学院,956
商洛学院,254
安康学院,542
菏泽学院,1013
西安医学院,360
铜仁学院,901
安顺学院,1196
凯里学院,1016
兰州城市学院,1014
香港演艺学院,1626
澳门理工大学,4116
长春科技学院,682
北京师范大学-香港浸会大学联合国际学院,1046
吉林师范大学博达学院,777
昆明医科大学海源学院,2042
山东政法学院,43
昆明城市学院,4117
武汉体育学院体育科技学院,1255
广州新华学院,4118
香港理工大学,2864
大连工业大学艺术与信息工程学院,93
吉林艺术学院,2003
广州应用科技学院,4119
北京理工大学珠海学院,876
