专业名称,专业热度,ID
运动康复,607522,4
运动能力开发,35312,2546
运动训练,178776,505
人文教育,638187,99
劳动教育,9935,2705
华文教育,365342,484
卫生教育,119480,1323
孤独症儿童教育,0,2687
学前教育,1540142,79
家庭教育,0,2688
小学教育,1915825,49
教育学,1633025,946
教育康复学,126846,1321
教育技术学,422070,346
特殊教育,592769,138
科学教育,500751,701
艺术教育,352579,126
融合教育,79118,2628
认知科学与技术,77571,1322
劳动经济学,173701,1317
商务经济学,3315526,147
国民经济管理,683052,818
数字经济,395140,1315
经济学,2475397,502
经济工程,209096,1316
经济统计学,694546,19
能源经济,689681,341
资源与环境经济学,2346321,189
互联网金融,301647,1320
保险学,254811,430
信用管理,401724,86
投资学,833903,239
精算学,504982,1319
经济与金融,824754,563
金融学,2254679,1239
金融审计,0,2708
金融工程,1684182,596
金融数学,801580,523
金融科技,234552,1318
国际税收,25167,2713
税收学,612847,1142
财政学,1329208,90
国际经济与贸易,926993,438
国际经济发展合作,21221,2664
贸易经济,524267,1079
农学,787103,274
农艺教育,127936,878
农药化肥,24640,2582
园艺,534162,524
园艺教育,103028,512
应用生物科学,221272,772
智慧农业,129662,2580
植物保护,273869,620
植物科学与技术,217364,352
烟草,404668,886
生物农药科学与工程,25151,2654
生物育种科学,646,2695
种子科学与工程,246926,25
茶学,251185,328
菌物科学与工程,36690,2581
设施农业科学与工程,203671,731
水产养殖学,212897,65
水族科学与技术,94124,821
水生动物医学,50986,1357
海洋渔业科学与技术,152096,1223
中兽医学,115727,1355
兽医公共卫生,39168,2648
动植物检疫,126507,295
动物医学,887539,481
动物药学,198778,945
实验动物学,47180,1356
园林,482802,765
智慧林业,527,2659
林学,257488,793
森林保护,414544,710
经济林,23967,1358
农业资源与环境,216089,751
国家公园建设与管理,0,2684
土地科学与技术,30788,2707
水土保持与荒漠化防治,185302,1120
湿地保护与恢复,449,2700
生物质科学与工程,48451,2583
野生动物与自然保护区管理,212601,1004
草业科学,163078,836
草坪科学与工程,31655,2584
动物科学,404998,1234
智慧牧业科学与工程,24236,2640
经济动物学,48761,1359
蚕学,124415,1235
蜂学,97159,1101
饲料工程,25120,2639
马业科学,48777,1360
法医学,881971,29
全球健康学,449988,403
卫生监督,509571,1121
妇幼保健医学,319603,66
运动与公共健康,50045,2641
预防医学,737299,1172
食品卫生与营养学,524555,544
中草药栽培与鉴定,167839,69
中药制药,369923,1010
中药学,605316,1013
中药资源与开发,109732,1098
蒙药学,76476,969
藏药学,62190,603
临床医学,6817111,694
儿科学,284887,1374
医学影像学,1708031,93
放射医学,323483,967
眼视光医学,938998,473
精神医学,665382,756
麻醉学,1441547,380
临床药学,627733,114
化妆品科学与技术,106356,1372
海洋药学,146439,552
药事管理,181243,801
药学,1299412,800
药物分析,376590,571
药物制剂,302320,736
药物化学,399503,1137
中西医临床医学,737919,196
中医儿科学,108853,1370
中医养生学,157841,1371
中医学,1993189,760
中医康复学,183091,1369
中医骨伤科学,147486,1367
傣医学,24370,2585
哈医学,466218,1024
回医学,31335,1368
壮医学,358924,978
维医学,85377,908
蒙医学,98558,257
藏医学,119537,1062
针灸推拿学,455578,1059
医学实验技术,523079,1238
医学影像技术,753384,528
医学检验技术,807521,1057
卫生检验与检疫,427260,386
口腔医学技术,598261,1151
听力与言语康复学,422130,1031
康复作业治疗,42278,1376
康复治疗学,522933,1150
康复物理治疗,74057,1377
智能医学工程,272516,1375
智能影像工程,64608,2657
生物医药数据科学,57395,2642
眼视光学,318837,990
基础医学,1549966,457
生物医学,548959,1366
生物医学科学,326156,1365
助产学,187258,1373
护理学,2327134,851
口腔医学,2906694,1052
军事海洋学,269773,173
海洋技术,172972,1383
海洋科学,387759,31
海洋资源与环境,439768,307
声学,197604,331
