展示名称,院校名称,院校 ID,院校曾用名,ID,创建人,创建时间,更新人,更新时间
西安理工大学高科学院,西安理工大学高科学院,98,,1785687386781739,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广东科技学院,广东科技学院,99,,1785687386777771,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
江汉大学文理学院,江汉大学文理学院,100,,1785687386784843,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
黑龙江工商学院,黑龙江工商学院,101,,1785687440627772,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广东工贸职业技术学院,广东工贸职业技术学院,102,,1785687440612412,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
长春汽车工业高等专科学校,长春汽车工业高等专科学校,103,,1785687440613420,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广东工程职业技术学院,广东工程职业技术学院,104,,1785687440612380,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖南工商大学北津学院,湖南工商大学北津学院,105,,1785687440625692,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
江苏师范大学科文学院,江苏师范大学科文学院,106,,1785687440619596,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中国人民解放军海军工程大学,中国人民解放军海军工程大学,107,,1785687440629804,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北京劳动保障职业学院,北京劳动保障职业学院,108,,1785687440612396,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南京体育学院,南京体育学院,109,,1785687440627740,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
河北美术学院,河北美术学院,110,,1785687440616476,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
遵义医药高等专科学校,遵义医药高等专科学校,111,,1785687440807980,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
成都农业科技职业学院,成都农业科技职业学院,112,,1785687440614428,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中国美术学院,中国美术学院,113,,1785687440806924,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广西大学行健文理学院,广西大学行健文理学院,114,,1785687440624668,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
天津商务职业学院,天津商务职业学院,115,,1785687440614460,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖北师范大学文理学院,湖北师范大学文理学院,116,,1785687440809020,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
陕西财经职业技术学院,陕西财经职业技术学院,117,,1785687440626748,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
扬州环境资源职业技术学院,扬州环境资源职业技术学院,118,,1785687440615436,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广东岭南职业技术学院,广东岭南职业技术学院,119,,1785687440629772,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中央美术学院,中央美术学院,120,,1785687440620620,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
焦作大学,焦作大学,121,,1785687440616492,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
福州工商学院(原福建农林大学东方学院),福州工商学院(原福建农林大学东方学院),122,,1785687440614412,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
四川交通职业技术学院,四川交通职业技术学院,123,,1785687440627756,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
山东科技大学泰山科技学院,山东科技大学泰山科技学院,124,,1785687440617564,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
盐城师范学院,盐城师范学院,125,,1785687440621644,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
甘肃政法学院,甘肃政法学院,126,,1785687440615468,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
河西学院,河西学院,127,,1785687440618572,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
闽江学院,闽江学院,128,,1785687440615484,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
嘉兴学院,嘉兴学院,129,,1785687440808972,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
潍坊医学院,潍坊医学院,130,,1785687440617548,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
大理大学,大理大学,131,,1785687440615452,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
安徽科技学院,安徽科技学院,132,,1785687440621692,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
韩山师范学院,韩山师范学院,133,,1785687440617580,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖州师范学院,湖州师范学院,134,,1785687440622684,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
成都工业学院,成都工业学院,135,,1785687440616460,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖南科技学院,湖南科技学院,136,,1785687440613436,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
金陵科技学院,金陵科技学院,137,,1785687440619628,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
忻州师范学院,忻州师范学院,138,,1785687440610428,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
上海商学院,上海商学院,139,,1785687440810044,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
曲阜师范大学,曲阜师范大学,140,,1785687440812044,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
河北中医药大学,河北中医药大学,141,,1785687440628748,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
云南民族大学,云南民族大学,142,,1785687440613404,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
新疆医科大学,新疆医科大学,143,,1785687440626716,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖南科技大学,湖南科技大学,144,,1785687440625724,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
内蒙古工业大学,内蒙古工业大学,145,,1785687440612364,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
